Serial number:,2045101,,,,,,,,,,,,
Channel:,CH1,,,,,,,,,,,,
Start date:,2024/4/4,Start time:,23:05:13,,,,,,,,,,
36,5.059,0.612,3.096,CV,,,,,,,,,
37,5.059,0.755,3.82,CV,,,,,,,,,
38,5.059,0.626,3.167,CV,,,,,,,,,
39,5.059,0.731,3.698,CV,,,,,,,,,
40,5.059,0.78,3.946,CV,,,,,,,,,
41,5.059,0.818,4.138,CV,,,,,,,,,
42,5.059,0.672,3.4,CV,,,,,,,,,
43,5.059,0.748,3.784,CV,,,,,,,,,
44,5.059,0.749,3.789,CV,,,,,,,,,
45,5.059,0.655,3.314,CV,,,,,,,,,
46,5.059,0.641,3.243,CV,,,,,,,,,
47,5.059,0.759,3.84,CV,,,,,,,,,
48,5.059,0.784,3.966,CV,,,,,,,,,
49,5.059,0.763,3.86,CV,,,,,,,,,
50,5.059,0.717,3.627,CV,,,,,,,,,
51,5.059,0.745,3.769,CV,,,,,,,,,
52,5.059,0.669,3.384,CV,,,,,,,,,
53,5.059,0.726,3.673,CV,,,,,,,,,
54,5.059,0.703,3.556,CV,,,,,,,,,
55,5.059,0.634,3.207,CV,,,,,,,,,
56,5.059,0.599,3.03,CV,,,,,,,,,
57,5.059,0.763,3.86,CV,,,,,,,,,
58,5.059,0.778,3.936,CV,,,,,,,,,
59,5.059,0.767,3.88,CV,,,,,,,,,
60,5.059,0.673,3.405,CV,,,,,,,,,
61,5.059,0.619,3.132,CV,,,,,,,,,
62,5.059,0.71,3.592,CV,,,,,,,,,
63,5.059,0.682,3.45,CV,,,,,,,,,
64,5.059,0.768,3.885,CV,,,,,,,,,
65,5.059,0.757,3.83,CV,,,,,,,,,
66,5.059,0.792,4.007,CV,,,,,,,,,
67,5.059,0.644,3.258,CV,,,,,,,,,
68,5.059,0.776,3.926,CV,,,,,,,,,
69,5.059,0.767,3.88,CV,,,,,,,,,
70,5.06,0.698,3.532,CV,,,,,,,,,
71,5.059,0.725,3.668,CV,,,,,,,,,
72,5.059,0.664,3.359,CV,,,,,,,,,
73,5.059,0.608,3.076,CV,,,,,,,,,
74,5.059,0.779,3.941,CV,,,,,,,,,
75,5.059,0.772,3.906,CV,,,,,,,,,
76,5.059,0.759,3.84,CV,,,,,,,,,
77,5.059,0.632,3.197,CV,,,,,,,,,
78,5.059,0.628,3.177,CV,,,,,,,,,
79,5.059,0.75,3.794,CV,,,,,,,,,
80,5.059,0.78,3.946,CV,,,,,,,,,
81,5.059,0.768,3.885,CV,,,,,,,,,
82,5.059,0.753,3.809,CV,,,,,,,,,
83,5.059,0.692,3.501,CV,,,,,,,,,
84,5.059,0.614,3.106,CV,,,,,,,,,
85,5.059,0.652,3.298,CV,,,,,,,,,
86,5.059,0.765,3.87,CV,,,,,,,,,
87,5.059,0.754,3.814,CV,,,,,,,,,
88,5.059,0.767,3.88,CV,,,,,,,,,
89,5.059,0.635,3.212,CV,,,,,,,,,
90,5.059,0.762,3.855,CV,,,,,,,,,
91,5.059,0.776,3.926,CV,,,,,,,,,
92,5.059,0.768,3.885,CV,,,,,,,,,
93,5.059,0.748,3.784,CV,,,,,,,,,
94,5.059,0.752,3.804,CV,,,,,,,,,
95,5.059,0.71,3.592,CV,,,,,,,,,
96,5.06,0.608,3.076,CV,,,,,,,,,
97,5.059,0.658,3.329,CV,,,,,,,,,
98,5.059,0.778,3.936,CV,,,,,,,,,
99,5.059,0.766,3.875,CV,,,,,,,,,
100,5.059,0.763,3.86,CV,,,,,,,,,
101,5.059,0.774,3.916,CV,,,,,,,,,
102,5.059,0.64,3.238,CV,,,,,,,,,
103,5.059,0.737,3.728,CV,,,,,,,,,
104,5.059,0.677,3.425,CV,,,,,,,,,
105,5.059,0.702,3.551,CV,,,,,,,,,
106,5.059,0.625,3.162,CV,,,,,,,,,
107,5.059,0.767,3.88,CV,,,,,,,,,
108,5.059,0.78,3.946,CV,,,,,,,,,
109,5.059,0.701,3.546,CV,,,,,,,,,
110,5.059,0.685,3.465,CV,,,,,,,,,
111,5.059,0.773,3.911,CV,,,,,,,,,
112,5.059,0.772,3.906,CV,,,,,,,,,
113,5.059,0.763,3.86,CV,,,,,,,,,
114,5.059,0.609,3.081,CV,,,,,,,,,
115,5.059,0.645,3.263,CV,,,,,,,,,
116,5.059,0.639,3.233,CV,,,,,,,,,
117,5.059,0.775,3.921,CV,,,,,,,,,
118,5.059,0.766,3.875,CV,,,,,,,,,
119,5.059,0.763,3.86,CV,,,,,,,,,
120,5.059,0.727,3.678,CV,,,,,,,,,
121,5.059,0.707,3.577,CV,,,,,,,,,
122,5.059,0.631,3.192,CV,,,,,,,,,
123,5.059,0.727,3.678,CV,,,,,,,,,
124,5.059,0.632,3.197,CV,,,,,,,,,
125,5.059,0.758,3.835,CV,,,,,,,,,
126,5.059,0.729,3.688,CV,,,,,,,,,
127,5.059,0.721,3.648,CV,,,,,,,,,2.089
128,5.059,0.781,3.951,CV,,,,,,,,,2.099
129,5.059,0.735,3.718,CV,,,,,,,,,2.089
130,5.059,0.695,3.516,CV,,,,,,,,,2.084
131,5.059,0.732,3.703,CV,,,,,,,,,2.089
132,5.059,0.558,2.823,CV,,,,,,,,,1.776
133,5.059,0.415,2.099,CV,,,,,,,,,1.776
134,5.059,0.414,2.094,CV,,,,,,,,,2.034
135,5.059,0.424,2.145,CV,,,,,,,,,1.917
136,5.059,0.415,2.099,CV,,,,,,,,,2.909
137,5.059,0.415,2.099,CV,,,,,,,,,2.616
138,5.059,0.416,2.105,CV,,,,,,,,,3.223
139,5.059,0.402,2.034,CV,,,,,,,,,3.526
140,5.059,0.354,1.791,CV,,,,,,,,,3.921
141,5.059,0.418,2.115,CV,,,,,,,,,3.622
142,5.059,0.353,1.786,CV,,,,,,,,,3.86
143,5.059,0.414,2.094,CV,,,,,,,,,3.764
144,5.059,0.446,2.256,CV,,,,,,,,,3.658
145,5.059,0.414,2.094,CV,,,,,,,,,3.197
146,5.059,0.442,2.236,CV,,,,,,,,,3.632
147,5.059,0.423,2.14,CV,,,,,,,,,3.835
148,5.059,0.393,1.988,CV,,,,,,,,,3.931
149,5.059,0.414,2.094,CV,,,,,,,,,3.223
150,5.059,0.414,2.094,CV,,,,,,,,,3.293
151,5.059,0.414,2.094,CV,,,,,,,,,3.101
152,5.059,0.414,2.094,CV,,,,,,,,,3.835
153,5.059,0.414,2.094,CV,,,,,,,,,3.096
154,5.059,0.351,1.776,CV,,,,,,,,,3.82
155,5.059,0.367,1.857,CV,,,,,,,,,3.167
156,5.059,0.351,1.776,CV,,,,,,,,,3.698
157,5.059,0.421,2.13,CV,,,,,,,,,3.946
158,5.059,0.413,2.089,CV,,,,,,,,,4.138
159,5.059,0.42,2.125,CV,,,,,,,,,3.4
160,5.059,0.413,2.089,CV,,,,,,,,,3.784
161,5.059,0.412,2.084,CV,,,,,,,,,3.789
162,5.059,0.4,2.024,CV,,,,,,,,,3.314
163,5.059,0.35,1.771,CV,,,,,,,,,3.243
164,5.059,0.354,1.791,CV,,,,,,,,,3.84
165,5.059,0.452,2.287,CV,,,,,,,,,3.966
166,5.059,0.35,1.771,CV,,,,,,,,,3.86
167,5.059,0.398,2.013,CV,,,,,,,,,3.627
168,5.059,0.417,2.11,CV,,,,,,,,,3.769
169,5.059,0.38,1.922,CV,,,,,,,,,3.384
170,5.059,0.435,2.201,CV,,,,,,,,,3.673
171,5.059,0.403,2.039,CV,,,,,,,,,3.556
172,5.059,0.428,2.165,CV,,,,,,,,,3.207
173,5.059,0.416,2.105,CV,,,,,,,,,3.03
174,5.059,0.413,2.089,CV,,,,,,,,,3.86
,,,,,,,,,,,,,3.936
,,,,,,,,,,,,,3.88
,,,,,,,,,,,,,3.405
,,,,,,,,,,,,,3.132
,,,,,,,,,,,,,3.592
,,,,,,,,,,,,,3.45
,,,,,,,,,,,,,3.885
,,,,,,,,,,,,,3.83
,,,,,,,,,,,,,4.007
,,,,,,,,,,,,,3.258
,,,,,,,,,,,,,3.926
,,,,,,,,,,,,,3.88
,,,,,,,,,,,,,3.532
,,,,,,,,,,,,,3.668
,,,,,,,,,,,,,3.359
,,,,,,,,,,,,,3.076
,,,,,,,,,,,,,3.941
,,,,,,,,,,,,,3.906
,,,,,,,,,,,,,3.84
,,,,,,,,,,,,,3.197
,,,,,,,,,,,,,3.177
,,,,,,,,,,,,,3.794
,,,,,,,,,,,,,3.946
,,,,,,,,,,,,,3.885
,,,,,,,,,,,,,3.809
,,,,,,,,,,,,,3.501
,,,,,,,,,,,,,3.106
,,,,,,,,,,,,,3.298
,,,,,,,,,,,,,3.87
,,,,,,,,,,,,,3.814
,,,,,,,,,,,,,3.88
,,,,,,,,,,,,,3.212
,,,,,,,,,,,,,3.855
,,,,,,,,,,,,,3.926
,,,,,,,,,,,,,3.885
,,,,,,,,,,,,,3.784
,,,,,,,,,,,,,3.804
,,,,,,,,,,,,,3.592
,,,,,,,,,,,,,3.076
,,,,,,,,,,,,,3.329
,,,,,,,,,,,,,3.936
,,,,,,,,,,,,,3.875
,,,,,,,,,,,,,3.86
,,,,,,,,,,,,,3.916
,,,,,,,,,,,,,3.238
,,,,,,,,,,,,,3.728
,,,,,,,,,,,,,3.425
,,,,,,,,,,,,,3.551
,,,,,,,,,,,,,3.162
,,,,,,,,,,,,,3.88
,,,,,,,,,,,,,3.946
,,,,,,,,,,,,,3.546
,,,,,,,,,,,,,3.465
,,,,,,,,,,,,,3.911
,,,,,,,,,,,,,3.906
,,,,,,,,,,,,,3.86
,,,,,,,,,,,,,3.081
,,,,,,,,,,,,,3.263
,,,,,,,,,,,,,3.233
,,,,,,,,,,,,,3.921
,,,,,,,,,,,,,3.875
,,,,,,,,,,,,,3.86
,,,,,,,,,,,,,3.678
,,,,,,,,,,,,,3.577
,,,,,,,,,,,,,3.192
,,,,,,,,,,,,,3.678
,,,,,,,,,,,,,3.197
,,,,,,,,,,,,,3.835
,,,,,,,,,,,,,3.688
,,,,,,,,,,,,,3.648
,,,,,,,,,,,,,3.951
,,,,,,,,,,,,,3.718
,,,,,,,,,,,,,3.516
,,,,,,,,,,,,,3.703
,,,,,,,,,,,,,2.823
,,,,,,,,,,,,,2.099
,,,,,,,,,,,,,2.094
,,,,,,,,,,,,,2.145
,,,,,,,,,,,,,2.099
,,,,,,,,,,,,,2.099
,,,,,,,,,,,,,2.105
,,,,,,,,,,,,,2.034
,,,,,,,,,,,,,1.791
,,,,,,,,,,,,,2.115
,,,,,,,,,,,,,1.786
